Id|Code|SecurityType|Symbol|Name|Exchange.Code|Sector|Description
1|NASDAQ:AAPL|Equity|AAPL|Apple Inc.|NASDAQ|Technology|
2|NASDAQ:FB|Equity|FB|Facebook, Inc.|NASDAQ|Technology|
3|NASDAQ:GOOG|Equity|GOOG|Google Inc.|NASDAQ|Technology|
4|NASDAQ:MSFT|Equity|MSFT|Microsoft Corporation|NASDAQ|Technology|
5|NASDAQ:QQQ|ETF|QQQ|PowerShares QQQ Trust, Series 1|NASDAQ||Nasdaq-100 Index
6|NYSE:AIG|Equity|AIG|American International Group, Inc.|NYSE|Financials|
7|NYSE:BAC|Equity|BAC|Bank of America Corporation|NYSE|Financials|
8|NYSE:C|Equity|C|Citigroup, Inc.|NYSE|Financials|
9|NYSE:EEM|ETF|EEM|iShares MSCI Emerging Markets|NYSE||MSCI Emerging Markets Index?
10|NYSE:EFA|ETF|EFA|iShares MSCI EAFE|NYSE||MSCI EAFE Index Fund
11|NYSE:EWJ|ETF|EWJ|iShares MSCI Japan|NYSE||MSCI Japan Index
12|NYSE:FXI|ETF|FXI|iShares FTSE Xinhua China 25|NYSE||FTSE China 25 Index
13|NYSE:GDX|ETF|GDX|Market Vectors Gold Miners|NYSE||NYSE Arca Gold Miners Index
14|NYSE:GM|Equity|GM|General Motors Company|NYSE|Cyclical Consumer Goods & Services|
15|NYSE:IWM|ETF|IWM|iShares Russell 2000|NYSE||Russell 3000 Index
16|NYSE:JPM|Equity|JPM|JPMorgan Chase & Co.|NYSE|Financials|
17|NYSE:SPY|ETF|SPY|SPDR S&P 500 ETF Trust|NYSE||S&P 500 Index
18|NYSE:V|Equity|V|Visa Inc.|NYSE|Industrials|
19|NYSE:VWO|ETF|VWO|Vanguard FTSE Emerging Markets ETF|NYSE||MSCI Emerging Markets Index
20|NYSE:XLF|ETF|XLF|Financial Select Sector SPDR|NYSE||Financial Select Sector Index
